<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NYMEX.XRB,D,20200101,000000,1.6960000,1.7034000,1.6960000,1.7006000,309
NYMEX.XRB,D,20200102,000000,1.7003000,1.7159000,1.6940000,1.7055000,32415
NYMEX.XRB,D,20200103,000000,1.7051000,1.7824000,1.7045000,1.7508000,34407
NYMEX.XRB,D,20200105,000000,1.7556000,1.7727000,1.7556000,1.7677000,472
NYMEX.XRB,D,20200106,000000,1.7674000,1.7943000,1.7353000,1.7483000,26214
NYMEX.XRB,D,20200107,000000,1.7486000,1.7851000,1.7057000,1.7798000,27475
NYMEX.XRB,D,20200108,000000,1.7795000,1.8011000,1.6289000,1.6539000,46228
NYMEX.XRB,D,20200109,000000,1.6547000,1.6655000,1.6302000,1.6533000,29914
NYMEX.XRB,D,20200110,000000,1.6537000,1.6786000,1.6508000,1.6596000,27365
NYMEX.XRB,D,20200112,000000,1.6668000,1.6668000,1.6528000,1.6559000,270
NYMEX.XRB,D,20200113,000000,1.6554000,1.6661000,1.6383000,1.6609000,26688
NYMEX.XRB,D,20200114,000000,1.6608000,1.6851000,1.6502000,1.6588000,27624
NYMEX.XRB,D,20200115,000000,1.6591000,1.6617000,1.6262000,1.6481000,25316
NYMEX.XRB,D,20200116,000000,1.6481000,1.6644000,1.6344000,1.6591000,20758
NYMEX.XRB,D,20200117,000000,1.6591000,1.6666000,1.6329000,1.6463000,18545
NYMEX.XRB,D,20200119,000000,1.6524000,1.6711000,1.6524000,1.6571000,367
NYMEX.XRB,D,20200120,000000,1.6572000,1.6582000,1.6365000,1.6422000,3152
NYMEX.XRB,D,20200121,000000,1.6403000,1.6557000,1.6123000,1.6380000,9426
NYMEX.XRB,D,20200122,000000,1.6381000,1.6382000,1.5692000,1.5700000,8811
NYMEX.XRB,D,20200123,000000,1.5690000,1.5709000,1.5346000,1.5632000,6341
NYMEX.XRB,D,20200124,000000,1.5617000,1.5739000,1.5060000,1.5134000,6009
NYMEX.XRB,D,20200126,000000,1.5049000,1.5052000,1.4724000,1.4805000,61
NYMEX.XRB,D,20200127,000000,1.4775000,1.4934000,1.4360000,1.4782000,4512
NYMEX.XRB,D,20200128,000000,1.4791000,1.5199000,1.4619000,1.5097000,4032
NYMEX.XRB,D,20200129,000000,1.5079000,1.5353000,1.4963000,1.5275000,2039
NYMEX.XRB,D,20200130,000000,1.5215000,1.5233000,1.4804000,1.5197000,1223
NYMEX.XRB,D,20200131,000000,1.5171000,1.5171000,1.4839000,1.4887000,778
NYMEX.XRB,D,20200202,000000,1.4900000,1.4900000,1.4685000,1.4807000,711
NYMEX.XRB,D,20200203,000000,1.4817000,1.5135000,1.4590000,1.4623000,39106
NYMEX.XRB,D,20200204,000000,1.4628000,1.5054000,1.4345000,1.4375000,38691
NYMEX.XRB,D,20200205,000000,1.4383000,1.5205000,1.4383000,1.4972000,43246
NYMEX.XRB,D,20200206,000000,1.4962000,1.5254000,1.4674000,1.5060000,31839
NYMEX.XRB,D,20200207,000000,1.5053000,1.5335000,1.4817000,1.5276000,43749
NYMEX.XRB,D,20200209,000000,1.5209000,1.5220000,1.5100000,1.5143000,569
NYMEX.XRB,D,20200210,000000,1.5143000,1.5534000,1.4975000,1.5282000,36840
NYMEX.XRB,D,20200211,000000,1.5289000,1.5424000,1.5086000,1.5214000,28542
NYMEX.XRB,D,20200212,000000,1.5219000,1.5999000,1.5211000,1.5882000,29586
NYMEX.XRB,D,20200213,000000,1.5883000,1.6136000,1.5564000,1.5792000,29086
NYMEX.XRB,D,20200214,000000,1.5792000,1.5960000,1.5613000,1.5869000,24100
NYMEX.XRB,D,20200216,000000,1.5888000,1.6012000,1.5883000,1.5989000,329
NYMEX.XRB,D,20200217,000000,1.5983000,1.6074000,1.5892000,1.5960000,3849
NYMEX.XRB,D,20200218,000000,1.5963000,1.6192000,1.5725000,1.6156000,12076
NYMEX.XRB,D,20200219,000000,1.6160000,1.6793000,1.6100000,1.6734000,9286
NYMEX.XRB,D,20200220,000000,1.6742000,1.6879000,1.6467000,1.6475000,6238
NYMEX.XRB,D,20200221,000000,1.6518000,1.6573000,1.6146000,1.6452000,6036
NYMEX.XRB,D,20200223,000000,1.6331000,1.6331000,1.6048000,1.6070000,94
NYMEX.XRB,D,20200224,000000,1.6058000,1.6175000,1.5753000,1.6082000,5861
NYMEX.XRB,D,20200225,000000,1.6144000,1.6249000,1.5142000,1.5300000,4182
NYMEX.XRB,D,20200226,000000,1.5326000,1.5348000,1.4322000,1.4358000,2760
NYMEX.XRB,D,20200227,000000,1.4413000,1.4413000,1.3747000,1.3954000,1437
NYMEX.XRB,D,20200228,000000,1.3658000,1.4007000,1.3562000,1.3905000,675
NYMEX.XRB,D,20200301,000000,1.4709000,1.4709000,1.4411000,1.4616000,1180
NYMEX.XRB,D,20200302,000000,1.4621000,1.5665000,1.4611000,1.5650000,34857
NYMEX.XRB,D,20200303,000000,1.5656000,1.5927000,1.5158000,1.5309000,26942
NYMEX.XRB,D,20200304,000000,1.5308000,1.5727000,1.5308000,1.5708000,26817
NYMEX.XRB,D,20200305,000000,1.5705000,1.5815000,1.5094000,1.5178000,28204
NYMEX.XRB,D,20200306,000000,1.5171000,1.5195000,1.3840000,1.3927000,28315
NYMEX.XRB,D,20200308,000000,1.2324000,1.2324000,1.1225000,1.1500000,2889
NYMEX.XRB,D,20200309,000000,1.1474000,1.2080000,1.0574000,1.1953000,20018
NYMEX.XRB,D,20200310,000000,1.1958000,1.2348000,1.1340000,1.1605000,17941
NYMEX.XRB,D,20200311,000000,1.1619000,1.2072000,1.0915000,1.0953000,13039
NYMEX.XRB,D,20200312,000000,1.0950000,1.1072000,0.8538000,0.8924000,18641
NYMEX.XRB,D,20200313,000000,0.8927000,1.0195000,0.8762000,0.9217000,16868
NYMEX.XRB,D,20200315,000000,0.9150000,0.9182000,0.8064000,0.8103000,1773
NYMEX.XRB,D,20200316,000000,0.8118000,0.8270000,0.6778000,0.7342000,18672
NYMEX.XRB,D,20200317,000000,0.7338000,0.7818000,0.6884000,0.7280000,13495
NYMEX.XRB,D,20200318,000000,0.7272000,0.7416000,0.6205000,0.6707000,7456
NYMEX.XRB,D,20200319,000000,0.6715000,0.6971000,0.6266000,0.6750000,5712
NYMEX.XRB,D,20200320,000000,0.6750000,0.7484000,0.6014000,0.6254000,3633
NYMEX.XRB,D,20200322,000000,0.6050000,0.6065000,0.5279000,0.5420000,441
NYMEX.XRB,D,20200323,000000,0.5422000,0.5589000,0.3760000,0.4400000,3987
NYMEX.XRB,D,20200324,000000,0.4336000,0.5362000,0.4143000,0.4688000,3314
NYMEX.XRB,D,20200325,000000,0.4706000,0.5808000,0.4560000,0.5301000,3061
NYMEX.XRB,D,20200326,000000,0.5420000,0.6141000,0.5238000,0.5600000,1855
NYMEX.XRB,D,20200327,000000,0.5600000,0.5994000,0.4986000,0.5994000,1779
NYMEX.XRB,D,20200329,000000,0.5451000,0.5469000,0.5301000,0.5321000,25
NYMEX.XRB,D,20200330,000000,0.5337000,0.5951000,0.4904000,0.5802000,933
NYMEX.XRB,D,20200331,000000,0.5966000,0.6187000,0.5478000,0.5633000,895
NYMEX.XRB,D,20200401,000000,0.5650000,0.5818000,0.5090000,0.5765000,27710
NYMEX.XRB,D,20200402,000000,0.5793000,0.7492000,0.5671000,0.6596000,23450
NYMEX.XRB,D,20200403,000000,0.6577000,0.7600000,0.6347000,0.7149000,21387
NYMEX.XRB,D,20200405,000000,0.6670000,0.6670000,0.6353000,0.6579000,719
NYMEX.XRB,D,20200406,000000,0.6594000,0.7250000,0.6530000,0.7177000,16840
NYMEX.XRB,D,20200407,000000,0.7174000,0.7349000,0.6350000,0.6541000,17240
NYMEX.XRB,D,20200408,000000,0.6574000,0.7176000,0.6252000,0.7088000,20662
NYMEX.XRB,D,20200409,000000,0.7079000,0.7697000,0.6680000,0.6885000,14878
NYMEX.XRB,D,20200412,000000,0.7329000,0.7329000,0.6721000,0.6905000,637
NYMEX.XRB,D,20200413,000000,0.6957000,0.7307000,0.6565000,0.7274000,11395
NYMEX.XRB,D,20200414,000000,0.7259000,0.7676000,0.6992000,0.7568000,14644
NYMEX.XRB,D,20200415,000000,0.7569000,0.7643000,0.6922000,0.7269000,13300
NYMEX.XRB,D,20200416,000000,0.7280000,0.7749000,0.6955000,0.7191000,14078
NYMEX.XRB,D,20200417,000000,0.7192000,0.7387000,0.6844000,0.7133000,9995
NYMEX.XRB,D,20200419,000000,0.7121000,0.7148000,0.7080000,0.7096000,65
NYMEX.XRB,D,20200420,000000,0.7116000,0.7350000,0.6570000,0.6778000,8042
NYMEX.XRB,D,20200421,000000,0.6781000,0.6882000,0.4940000,0.5500000,8576
NYMEX.XRB,D,20200422,000000,0.5600000,0.6797000,0.4738000,0.6739000,5067
NYMEX.XRB,D,20200423,000000,0.6730000,0.7455000,0.6070000,0.6208000,4131
NYMEX.XRB,D,20200424,000000,0.6234000,0.6731000,0.6056000,0.6583000,3416
NYMEX.XRB,D,20200426,000000,0.6451000,0.6533000,0.6410000,0.6484000,18
NYMEX.XRB,D,20200427,000000,0.6478000,0.6724000,0.6324000,0.6466000,1722
NYMEX.XRB,D,20200428,000000,0.6466000,0.6920000,0.6280000,0.6888000,2084
NYMEX.XRB,D,20200429,000000,0.6911000,0.7680000,0.6906000,0.7349000,1589
NYMEX.XRB,D,20200430,000000,0.7690000,0.7960000,0.6854000,0.7881000,1395
NYMEX.XRB,D,20200501,000000,0.7872000,0.8029000,0.7400000,0.7674000,24626
NYMEX.XRB,D,20200503,000000,0.7622000,0.7622000,0.7445000,0.7528000,407
NYMEX.XRB,D,20200504,000000,0.7533000,0.8446000,0.7408000,0.8415000,25624
NYMEX.XRB,D,20200505,000000,0.8411000,0.9346000,0.8305000,0.9324000,26518
NYMEX.XRB,D,20200506,000000,0.9318000,0.9318000,0.8500000,0.8831000,26102
NYMEX.XRB,D,20200507,000000,0.8841000,0.9648000,0.8704000,0.9342000,26663
NYMEX.XRB,D,20200508,000000,0.9335000,0.9586000,0.9087000,0.9544000,16284
NYMEX.XRB,D,20200510,000000,0.9600000,0.9600000,0.9430000,0.9501000,253
NYMEX.XRB,D,20200511,000000,0.9498000,0.9820000,0.9161000,0.9333000,18189
NYMEX.XRB,D,20200512,000000,0.9354000,0.9452000,0.8889000,0.8920000,15658
NYMEX.XRB,D,20200513,000000,0.8920000,0.9090000,0.8339000,0.8490000,19758
NYMEX.XRB,D,20200514,000000,0.8490000,0.9344000,0.8376000,0.9286000,14352
NYMEX.XRB,D,20200515,000000,0.9300000,0.9745000,0.9165000,0.9715000,12307
NYMEX.XRB,D,20200517,000000,0.9700000,0.9953000,0.9682000,0.9953000,399
NYMEX.XRB,D,20200518,000000,0.9936000,1.0588000,0.9930000,1.0456000,9852
NYMEX.XRB,D,20200519,000000,1.0483000,1.0563000,1.0225000,1.0342000,7074
NYMEX.XRB,D,20200520,000000,1.0342000,1.0888000,1.0295000,1.0454000,4912
NYMEX.XRB,D,20200521,000000,1.0460000,1.0679000,1.0276000,1.0500000,4091
NYMEX.XRB,D,20200522,000000,1.0500000,1.0500000,0.9851000,1.0365000,4439
NYMEX.XRB,D,20200524,000000,1.0312000,1.0335000,1.0182000,1.0222000,39
NYMEX.XRB,D,20200525,000000,1.0255000,1.0595000,1.0195000,1.0515000,226
NYMEX.XRB,D,20200526,000000,1.0520000,1.0758000,1.0299000,1.0327000,2422
NYMEX.XRB,D,20200527,000000,1.0408000,1.0408000,0.9654000,0.9673000,2054
NYMEX.XRB,D,20200528,000000,0.9756000,1.0171000,0.9610000,0.9999000,1751
NYMEX.XRB,D,20200529,000000,0.9910000,1.0620000,0.9759000,1.0259000,806
NYMEX.XRB,D,20200531,000000,1.0785000,1.0878000,1.0620000,1.0761000,545
NYMEX.XRB,D,20200601,000000,1.0773000,1.0898000,1.0410000,1.0683000,25142
NYMEX.XRB,D,20200602,000000,1.0684000,1.1206000,1.0666000,1.1128000,21236
NYMEX.XRB,D,20200603,000000,1.1109000,1.1352000,1.0917000,1.1190000,23645
NYMEX.XRB,D,20200604,000000,1.1190000,1.1517000,1.1053000,1.1427000,17470
NYMEX.XRB,D,20200605,000000,1.1426000,1.2170000,1.1425000,1.2033000,21262
NYMEX.XRB,D,20200607,000000,1.2129000,1.2443000,1.2107000,1.2443000,923
NYMEX.XRB,D,20200608,000000,1.2433000,1.2444000,1.1913000,1.2086000,23615
NYMEX.XRB,D,20200609,000000,1.2089000,1.2184000,1.1818000,1.2117000,17235
NYMEX.XRB,D,20200610,000000,1.2086000,1.2198000,1.1864000,1.1914000,21625
NYMEX.XRB,D,20200611,000000,1.1923000,1.1955000,1.0927000,1.0967000,24665
NYMEX.XRB,D,20200612,000000,1.0972000,1.1382000,1.0741000,1.1261000,22187
NYMEX.XRB,D,20200614,000000,1.1208000,1.1211000,1.1087000,1.1114000,335
NYMEX.XRB,D,20200615,000000,1.1107000,1.1792000,1.0900000,1.1734000,24105
NYMEX.XRB,D,20200616,000000,1.1730000,1.2257000,1.1550000,1.1895000,18371
NYMEX.XRB,D,20200617,000000,1.1881000,1.2197000,1.1750000,1.2077000,15797
NYMEX.XRB,D,20200618,000000,1.2087000,1.2742000,1.2012000,1.2684000,12011
NYMEX.XRB,D,20200619,000000,1.2658000,1.2888000,1.2358000,1.2620000,8987
NYMEX.XRB,D,20200621,000000,1.2653000,1.2715000,1.2507000,1.2715000,80
NYMEX.XRB,D,20200622,000000,1.2701000,1.3074000,1.2538000,1.2991000,5279
NYMEX.XRB,D,20200623,000000,1.2989000,1.3288000,1.2782000,1.3003000,4108
NYMEX.XRB,D,20200624,000000,1.3001000,1.3056000,1.1751000,1.1844000,4844
NYMEX.XRB,D,20200625,000000,1.1879000,1.2100000,1.1354000,1.2060000,3391
NYMEX.XRB,D,20200626,000000,1.2025000,1.2141000,1.1323000,1.1354000,2910
NYMEX.XRB,D,20200628,000000,1.1313000,1.1313000,1.1251000,1.1266000,8
NYMEX.XRB,D,20200629,000000,1.1253000,1.1940000,1.1091000,1.1901000,1444
NYMEX.XRB,D,20200630,000000,1.1900000,1.2233000,1.1815000,1.2163000,861
NYMEX.XRB,D,20200701,000000,1.2159000,1.2497000,1.1920000,1.2124000,27031
NYMEX.XRB,D,20200702,000000,1.2124000,1.2625000,1.2092000,1.2430000,25299
NYMEX.XRB,D,20200703,000000,1.2418000,1.2553000,1.2318000,1.2440000,3963
NYMEX.XRB,D,20200705,000000,1.2528000,1.2632000,1.2450000,1.2575000,419
NYMEX.XRB,D,20200706,000000,1.2578000,1.2792000,1.2334000,1.2442000,22034
NYMEX.XRB,D,20200707,000000,1.2442000,1.2841000,1.2286000,1.2736000,24197
NYMEX.XRB,D,20200708,000000,1.2710000,1.2974000,1.2641000,1.2863000,23914
NYMEX.XRB,D,20200709,000000,1.2863000,1.2954000,1.2456000,1.2511000,21357
NYMEX.XRB,D,20200710,000000,1.2511000,1.2911000,1.2245000,1.2815000,24660
NYMEX.XRB,D,20200712,000000,1.2785000,1.2795000,1.2651000,1.2657000,422
NYMEX.XRB,D,20200713,000000,1.2660000,1.2913000,1.2440000,1.2453000,20007
NYMEX.XRB,D,20200714,000000,1.2443000,1.2658000,1.2170000,1.2656000,21644
NYMEX.XRB,D,20200715,000000,1.2611000,1.2771000,1.2448000,1.2585000,16983
NYMEX.XRB,D,20200716,000000,1.2576000,1.2624000,1.2255000,1.2352000,13733
NYMEX.XRB,D,20200717,000000,1.2354000,1.2370000,1.1939000,1.2222000,15039
NYMEX.XRB,D,20200719,000000,1.2245000,1.2245000,1.2162000,1.2229000,89
NYMEX.XRB,D,20200720,000000,1.2218000,1.2352000,1.2014000,1.2263000,8511
NYMEX.XRB,D,20200721,000000,1.2270000,1.2868000,1.2270000,1.2801000,7743
NYMEX.XRB,D,20200722,000000,1.2784000,1.2909000,1.2621000,1.2822000,4010
NYMEX.XRB,D,20200723,000000,1.2822000,1.2994000,1.2552000,1.2658000,5670
NYMEX.XRB,D,20200724,000000,1.2654000,1.2900000,1.2543000,1.2880000,5483
NYMEX.XRB,D,20200726,000000,1.2848000,1.2863000,1.2770000,1.2815000,44
NYMEX.XRB,D,20200727,000000,1.2810000,1.2880000,1.2450000,1.2821000,2757
NYMEX.XRB,D,20200728,000000,1.2812000,1.2873000,1.2520000,1.2557000,2979
NYMEX.XRB,D,20200729,000000,1.2597000,1.2687000,1.2381000,1.2425000,1912
NYMEX.XRB,D,20200730,000000,1.2427000,1.2427000,1.1610000,1.2370000,1592
NYMEX.XRB,D,20200731,000000,1.2338000,1.2378000,1.1748000,1.1871000,858
NYMEX.XRB,D,20200802,000000,1.1740000,1.1755000,1.1645000,1.1681000,141
NYMEX.XRB,D,20200803,000000,1.1695000,1.2287000,1.1557000,1.2038000,34383
NYMEX.XRB,D,20200804,000000,1.2049000,1.2311000,1.1887000,1.2127000,22943
NYMEX.XRB,D,20200805,000000,1.2120000,1.2646000,1.2104000,1.2266000,20374
NYMEX.XRB,D,20200806,000000,1.2269000,1.2496000,1.2139000,1.2319000,19761
NYMEX.XRB,D,20200807,000000,1.2317000,1.2378000,1.1956000,1.2135000,26392
NYMEX.XRB,D,20200809,000000,1.2195000,1.2195000,1.2081000,1.2135000,221
NYMEX.XRB,D,20200810,000000,1.2125000,1.2491000,1.2109000,1.2344000,24998
NYMEX.XRB,D,20200811,000000,1.2337000,1.2606000,1.2015000,1.2088000,25690
NYMEX.XRB,D,20200812,000000,1.2081000,1.2482000,1.2070000,1.2415000,21662
NYMEX.XRB,D,20200813,000000,1.2411000,1.2530000,1.2176000,1.2521000,17288
